experiment_id,timestamp,performance,gpu,system,monitoring_duration,total_samples,average_score
fullkvcache_gov_report_kv128_bs1_rep0_20250628_035720,2025-06-28T07:25:42.538671,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 134.24664507855428, 'throughput_tokens_per_sec': 7.447059307261679, 'total_time_sec': 61.23222351074219, 'tokens_generated': 456, 'model_name': 'C:\\Users\\Administrator\\mistral_models\\7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 512, 'use_fullkvcache': True, 'dataset': 'gov_report', 'repetition': 0}",{},{},0,200,0.1326858950067458
fullkvcache_gov_report_kv1024_bs1_rep0_20250628_035720,2025-06-28T10:29:34.353754,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 141.42638918143422, 'throughput_tokens_per_sec': 7.06974202596272, 'total_time_sec': 56.437702894210815, 'tokens_generated': 399, 'model_name': 'C:\\Users\\Administrator\\mistral_models\\7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 512, 'use_fullkvcache': True, 'dataset': 'gov_report', 'repetition': 0}",{},{},0,200,0.15339749958920934
