experiment_id,timestamp,performance,gpu,system,monitoring_duration
fullkvcache_gov_report_kv128_bs1_rep0_20250625_085205,2025-06-25T08:52:25.488068,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 136.6395483211595, 'throughput_tokens_per_sec': 7.304241363404147, 'total_time_sec': 6.845337867736816, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'gov_report', 'repetition': 0}",{},{},0
fullkvcache_gov_report_kv1024_bs1_rep0_20250625_085205,2025-06-25T08:52:42.547242,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 121.19398506320252, 'throughput_tokens_per_sec': 8.212196228521691, 'total_time_sec': 6.088505268096924, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'gov_report', 'repetition': 0}",{},{},0
fullkvcache_qmsum_kv128_bs1_rep0_20250625_085205,2025-06-25T08:52:59.255026,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 123.26229056533501, 'throughput_tokens_per_sec': 8.077737251215444, 'total_time_sec': 6.189852237701416, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'qmsum', 'repetition': 0}",{},{},0
fullkvcache_qmsum_kv1024_bs1_rep0_20250625_085205,2025-06-25T08:53:16.248852,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 118.92487272924305, 'throughput_tokens_per_sec': 8.36495458521847, 'total_time_sec': 5.97731876373291, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'qmsum', 'repetition': 0}",{},{},0
fullkvcache_multi_news_kv128_bs1_rep0_20250625_085205,2025-06-25T08:53:32.070600,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 119.83928583106216, 'throughput_tokens_per_sec': 8.302717056270248, 'total_time_sec': 6.022125005722046, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'multi_news', 'repetition': 0}",{},{},0
fullkvcache_multi_news_kv1024_bs1_rep0_20250625_085205,2025-06-25T08:53:48.235297,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 125.50838334219796, 'throughput_tokens_per_sec': 7.936620329422696, 'total_time_sec': 6.2999107837677, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'multi_news', 'repetition': 0}",{},{},0
