experiment_id,timestamp,performance,gpu,system,monitoring_duration
fullkvcache_hotpotqa_kv1024_bs4_rep0_20250617_164728,2025-06-17T16:49:02.739519,"{'success': True, 'ttft_ms': 2616.02520942688, 'tpot_ms': 1320.1112601221826, 'throughput_tokens_per_sec': 0.7429147454218531, 'total_time_sec': 67.30247354507446, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 4, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10888.6513671875, 'average_memory_mb': 10472.732362888004, 'sample_count': 596}, 'total_peak_memory_mb': 10888.6513671875}","{'peak_cpu_percent': 13.1, 'average_cpu_percent': 5.798507462686567, 'peak_memory_percent': 45.6, 'peak_memory_used_gb': 29.121849060058594, 'sample_count': 67}",67.32310581207275
fullkvcache_hotpotqa_kv1024_bs8_rep0_20250617_164903,2025-06-17T16:51:10.679388,"{'success': True, 'ttft_ms': 8877.044439315796, 'tpot_ms': 1738.8263478571055, 'throughput_tokens_per_sec': 0.5314595766451004, 'total_time_sec': 94.08053255081177, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 8, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 11804.8076171875, 'average_memory_mb': 11017.384448300734, 'sample_count': 834}, 'total_peak_memory_mb': 11804.8076171875}","{'peak_cpu_percent': 15.9, 'average_cpu_percent': 6.07956989247312, 'peak_memory_percent': 44.6, 'peak_memory_used_gb': 28.49248504638672, 'sample_count': 93}",94.0924928188324
fullkvcache_hotpotqa_kv2048_bs1_rep0_20250617_165111,2025-06-17T16:52:40.700933,"{'success': True, 'ttft_ms': 2520.5588340759277, 'tpot_ms': 1320.132080389529, 'throughput_tokens_per_sec': 0.7439587469618876, 'total_time_sec': 67.20802760124207, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 2048, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10616.5810546875, 'average_memory_mb': 10205.712086927171, 'sample_count': 596}, 'total_peak_memory_mb': 10616.5810546875}","{'peak_cpu_percent': 11.0, 'average_cpu_percent': 5.8149253731343284, 'peak_memory_percent': 44.0, 'peak_memory_used_gb': 28.111839294433594, 'sample_count': 67}",67.28283476829529
fullkvcache_hotpotqa_kv2048_bs4_rep0_20250617_165241,2025-06-17T16:54:32.671496,"{'success': True, 'ttft_ms': 7970.731019973755, 'tpot_ms': 1487.1267250605993, 'throughput_tokens_per_sec': 0.61849852030899, 'total_time_sec': 80.84093713760376, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 4, 'kv_cache_length': 2048, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 11820.8154296875, 'average_memory_mb': 10995.382954830238, 'sample_count': 717}, 'total_peak_memory_mb': 11820.8154296875}","{'peak_cpu_percent': 12.3, 'average_cpu_percent': 5.686249999999999, 'peak_memory_percent': 45.2, 'peak_memory_used_gb': 28.836597442626953, 'sample_count': 80}",80.89559888839722
fullkvcache_hotpotqa_kv2048_bs8_rep0_20250617_165433,2025-06-17T16:57:42.631925,"{'success': True, 'ttft_ms': 38320.15585899353, 'tpot_ms': 2048.9045843786125, 'throughput_tokens_per_sec': 0.36044484903618534, 'total_time_sec': 138.7174768447876, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 8, 'kv_cache_length': 2048, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 13809.1279296875, 'average_memory_mb': 12100.378048082792, 'sample_count': 1229}, 'total_peak_memory_mb': 13809.1279296875}","{'peak_cpu_percent': 14.6, 'average_cpu_percent': 5.621897810218978, 'peak_memory_percent': 44.0, 'peak_memory_used_gb': 28.073810577392578, 'sample_count': 137}",138.77240705490112
fullkvcache_hotpotqa_kv128_bs1_rep1_20250617_165743,2025-06-17T16:59:05.630153,"{'success': True, 'ttft_ms': 1445.0280666351318, 'tpot_ms': 1313.456661847173, 'throughput_tokens_per_sec': 0.7598217717028309, 'total_time_sec': 65.80490565299988, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 1}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10366.75341796875, 'average_memory_mb': 9966.1203721974, 'sample_count': 584}, 'total_peak_memory_mb': 10366.75341796875}","{'peak_cpu_percent': 11.2, 'average_cpu_percent': 5.779999999999999, 'peak_memory_percent': 43.3, 'peak_memory_used_gb': 27.614856719970703, 'sample_count': 65}",65.84905982017517
fullkvcache_hotpotqa_kv128_bs4_rep1_20250617_165906,2025-06-17T17:00:33.118298,"{'success': True, 'ttft_ms': 4096.663951873779, 'tpot_ms': 1304.3445081126933, 'throughput_tokens_per_sec': 0.7351801517428755, 'total_time_sec': 68.01054120063782, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 4, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 1}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10435.15380859375, 'average_memory_mb': 10029.25162112614, 'sample_count': 603}, 'total_peak_memory_mb': 10435.15380859375}","{'peak_cpu_percent': 12.1, 'average_cpu_percent': 5.946268656716418, 'peak_memory_percent': 44.4, 'peak_memory_used_gb': 28.317562103271484, 'sample_count': 67}",68.02951169013977
fullkvcache_hotpotqa_kv128_bs8_rep1_20250617_170033,2025-06-17T17:01:59.416635,"{'success': True, 'ttft_ms': 3131.004810333252, 'tpot_ms': 1319.3947733665, 'throughput_tokens_per_sec': 0.7376660534949854, 'total_time_sec': 67.78134870529175, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 8, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 1}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10530.48876953125, 'average_memory_mb': 10093.78165297421, 'sample_count': 601}, 'total_peak_memory_mb': 10530.48876953125}","{'peak_cpu_percent': 86.5, 'average_cpu_percent': 6.902985074626867, 'peak_memory_percent': 43.6, 'peak_memory_used_gb': 27.816192626953125, 'sample_count': 67}",67.7893271446228
fullkvcache_hotpotqa_kv256_bs1_rep1_20250617_170200,2025-06-17T17:03:24.171711,"{'success': True, 'ttft_ms': 2813.128709793091, 'tpot_ms': 1309.6780387722715, 'throughput_tokens_per_sec': 0.7464095542239535, 'total_time_sec': 66.9873526096344, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 256, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 1}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10382.75830078125, 'average_memory_mb': 9973.148894596901, 'sample_count': 595}, 'total_peak_memory_mb': 10382.75830078125}","{'peak_cpu_percent': 14.5, 'average_cpu_percent': 5.987878787878788, 'peak_memory_percent': 44.2, 'peak_memory_used_gb': 28.242374420166016, 'sample_count': 66}",66.9943540096283
fullkvcache_hotpotqa_kv256_bs4_rep1_20250617_170324,2025-06-17T17:04:50.773007,"{'success': True, 'ttft_ms': 2850.123882293701, 'tpot_ms': 1306.7882790857432, 'throughput_tokens_per_sec': 0.7475657821257707, 'total_time_sec': 66.88374614715576, 'tokens_generated': 50, 'model_name': 'C:/Users/JerryGanst/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 4, 'kv_cache_length': 256, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 1}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10499.43896484375, 'average_memory_mb': 10086.909181331544, 'sample_count': 594}, 'total_peak_memory_mb': 10499.43896484375}","{'peak_cpu_percent': 14.3, 'average_cpu_percent': 5.943939393939394, 'peak_memory_percent': 44.0, 'peak_memory_used_gb': 28.100143432617188, 'sample_count': 66}",66.92939233779907
