experiment_id,timestamp,performance,gpu,system,monitoring_duration
fullkvcache_hotpotqa_kv128_bs1_rep0_20250622_105918,2025-06-22T10:59:37.409453,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 121.38072033317721, 'throughput_tokens_per_sec': 8.199873159463266, 'total_time_sec': 6.097655296325684, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}",{},{},0
fullkvcache_hotpotqa_kv1024_bs1_rep0_20250622_105918,2025-06-22T10:59:53.757862,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 122.18830244881765, 'throughput_tokens_per_sec': 8.147002134111224, 'total_time_sec': 6.137226819992065, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'hotpotqa', 'repetition': 0}",{},{},0
fullkvcache_2wikimqa_kv128_bs1_rep0_20250622_105918,2025-06-22T11:00:11.130194,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 129.11557372735473, 'throughput_tokens_per_sec': 7.7200248230320865, 'total_time_sec': 6.476663112640381, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': '2wikimqa', 'repetition': 0}",{},{},0
fullkvcache_2wikimqa_kv1024_bs1_rep0_20250622_105918,2025-06-22T11:00:27.033400,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 113.48347469251982, 'throughput_tokens_per_sec': 8.755509005768156, 'total_time_sec': 5.710690259933472, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': '2wikimqa', 'repetition': 0}",{},{},0
fullkvcache_musique_kv128_bs1_rep0_20250622_105918,2025-06-22T11:00:44.022113,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 124.91908559993821, 'throughput_tokens_per_sec': 7.973165266983968, 'total_time_sec': 6.271035194396973, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'musique', 'repetition': 0}",{},{},0
fullkvcache_musique_kv1024_bs1_rep0_20250622_105918,2025-06-22T11:01:00.984178,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 128.91783227725904, 'throughput_tokens_per_sec': 7.731591574156663, 'total_time_sec': 6.466973781585693, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'musique', 'repetition': 0}",{},{},0
