experiment_id,timestamp,performance,gpu,system,monitoring_duration,total_samples,average_score
fullkvcache_multifieldqa_en_kv128_bs1_rep0_20250628_023003,2025-06-28T02:44:47.943006,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 131.76574177212186, 'throughput_tokens_per_sec': 7.5728516627760305, 'total_time_sec': 8.451241731643677, 'tokens_generated': 64, 'model_name': 'C:\\Users\\Administrator\\mistral_models\\7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 64, 'use_fullkvcache': True, 'dataset': 'multifieldqa_en', 'repetition': 0}",{},{},0,150,0.12623268627860929
fullkvcache_multifieldqa_en_kv1024_bs1_rep0_20250628_023003,2025-06-28T02:57:47.526764,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 132.73549988156273, 'throughput_tokens_per_sec': 7.5184997745448205, 'total_time_sec': 8.512336492538452, 'tokens_generated': 64, 'model_name': 'C:\\Users\\Administrator\\mistral_models\\7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 64, 'use_fullkvcache': True, 'dataset': 'multifieldqa_en', 'repetition': 0}",{},{},0,150,0.15336957996695355
